date,pax_count,year,index
2005-07-31,3225769,2005,108.87065772913836
2005-08-31,3195866,2005,107.86142263571585
2005-09-30,2740553,2005,92.49447423283047
2005-10-31,2770715,2005,93.51245065284884
2005-11-30,2617333,2005,88.33576279212146
2005-12-31,2671797,2005,90.1739388991396
2006-01-31,2448889,2006,82.6507279770039
2006-02-28,2223024,2006,75.02771743037398
2006-03-31,2708778,2006,91.42205858578836
2006-04-30,2773293,2006,93.59945891525875
2006-05-31,2829000,2006,95.47958663987794
2006-06-30,3071396,2006,103.66052332533565
2006-07-31,3227605,2006,108.93262327211141
2006-08-31,3143839,2006,106.1054959994087
2006-09-30,2720100,2006,91.80417943412229
2006-10-31,2834959,2006,95.68070465217453
2006-11-30,2653887,2006,89.56947110249054
2006-12-31,2698200,2006,91.06504795748272
2007-01-31,2507430,2007,84.62650403974165
2007-02-28,2304990,2007,77.79409417075017
2007-03-31,2820085,2007,95.17870275338286
2007-04-30,2869247,2007,96.83793479240363
2007-05-31,3056934,2007,103.17242654838763
2007-06-30,3263621,2007,110.14817392337399
2007-07-31,3382382,2007,114.15639279539187
2007-08-31,3436417,2007,115.98009002553884
2007-09-30,2957530,2007,99.81751215095022
2007-10-31,3129309,2007,105.61510420235057
2007-11-30,2922500,2007,98.6352392912843
2007-12-31,2903637,2007,97.99860746279789
2008-01-31,2670053,2008,90.11507838337434
2008-02-29,2595676,2008,87.604832637346
2008-03-31,3127387,2008,105.55023613394413
2008-04-30,3029021,2008,102.23035454348168
2008-05-31,3305954,2008,111.576925192807
2008-06-30,3453751,2008,116.56511765184344
2008-07-31,3603946,2008,121.6342433200571
2008-08-31,3612297,2008,121.9160920397565
2008-09-30,3004720,2008,101.41018860677767
2008-10-31,3124451,2008,105.4511452656604
2008-11-30,2744485,2008,92.62718039566822
2008-12-31,2962937,2008,100.0
2009-01-31,2644539,2009,89.25397333794137
2009-02-28,2359800,2009,79.64394788009331
2009-03-31,2925918,2009,98.75059780211323
2009-04-30,3024973,2009,102.09373334633844
2009-05-31,3177100,2009,107.22806458591594
2009-06-30,3419595,2009,115.4123425506516
2009-07-31,3649702,2009,123.17852185179771
2009-08-31,3650668,2009,123.21112463747963
2009-09-30,3191526,2009,107.71494635221741
2009-10-31,3249428,2009,109.66915597597924
2009-11-30,2971484,2009,100.28846377766385
2009-12-31,3074209,2009,103.75546290724374
2010-01-31,2785466,2010,94.01030126526484
2010-02-28,2515361,2010,84.89417763523153
2010-03-31,3105958,2010,104.82700104659668
2010-04-30,3139059,2010,105.94416958578599
2010-05-31,3380355,2010,114.08798094593304
2010-06-30,3612886,2010,121.93597096394558
2010-07-31,3765824,2010,127.09767369336573
2010-08-31,3771842,2010,127.3007829731108
2010-09-30,3356365,2010,113.27831135120321
2010-10-31,3490100,2010,117.7919071515864
2010-11-30,3163659,2010,106.77442686091536
2010-12-31,3167124,2010,106.89137163564395
2011-01-31,2883810,2011,97.32944034922106
2011-02-28,2610667,2011,88.11078332073885
2011-03-31,3129205,2011,105.61159417159394
2011-04-30,3200527,2011,108.01873276414584
2011-05-31,3547804,2011,119.73943421679232
2011-06-30,3766323,2011,127.11451509093847
2011-07-31,3935589,2011,132.82729264915184
2011-08-31,3917884,2011,132.22974366312886
2011-09-30,3564970,2011,120.3187917934131
2011-10-31,3602455,2011,121.58392162911326
2011-11-30,3326859,2011,112.28247512518827
2011-12-31,3441693,2011,116.1581565858471
2012-01-31,3211600,2012,108.39244978884128
2012-02-29,2998119,2012,101.18740290461797
2012-03-31,3472440,2012,117.19587692887158
2012-04-30,3563007,2012,120.25253996288143
2012-05-31,3820570,2012,128.9453673837817
2012-06-30,4107195,2012,138.6190458993897
2012-07-31,4284443,2012,144.6012183181755
2012-08-31,4356216,2012,147.0235782941048
2012-09-30,3819379,2012,128.90517078155895
2012-10-31,3844987,2012,129.7694483547912
2012-11-30,3478890,2012,117.41356633637503
2012-12-31,3443039,2012,116.20358448390904
2013-01-31,3204637,2013,108.15744647962478
2013-02-28,2966477,2013,100.11947604690886
2013-03-31,3593364,2013,121.27709769056851
2013-04-30,3604104,2013,121.63957586678353
2013-05-31,3933016,2013,132.74045313822063
2013-06-30,4146797,2013,139.95562511116503
2013-07-31,4176486,2013,140.95763764129984
2013-08-31,4347059,2013,146.71452683604141
2013-09-30,3781168,2013,127.61553823115375
2013-10-31,3910790,2013,131.9903190651708
2013-11-30,3466878,2013,117.0081577839826
2013-12-31,3814984,2013,128.756838231795
2014-01-31,3432625,2014,115.85210890410427
2014-02-28,3078405,2014,103.89707914815605
2014-03-31,3765504,2014,127.0868735987299
2014-04-30,3881893,2014,131.0150367692597
2014-05-31,4147096,2014,139.9657164495904
2014-06-30,4321833,2014,145.86314187578068
2014-07-31,4499221,2014,151.85003933596968
2014-08-31,4524918,2014,152.7173206855225
2014-09-30,3919072,2014,132.26983901446437
2014-10-31,4059443,2014,137.0074017773581
2014-11-30,3628786,2014,122.47260066616334
2014-12-31,3855835,2014,130.1355715629458
2015-01-31,3550084,2015,119.8163848910726
2015-02-28,3248144,2015,109.62582059625296
2015-03-31,4001521,2015,135.05251714768153
2015-04-30,4021677,2015,135.7327881085558
2015-05-31,4361140,2015,147.18976475031363
2015-06-30,4558511,2015,153.8510943702144
2015-07-31,4801148,2015,162.04016487694471
2015-08-31,4796653,2015,161.8884572976071
2015-09-30,4201394,2015,141.7982900075162
2015-10-31,4374749,2015,147.649072524998
2015-11-30,4013814,2015,135.46740953317604
2015-12-31,4129052,2015,139.3567261133126
2016-01-31,3748529,2016,126.51396232859491
