date,pax_count,year,index
2016-02-29,3543639,2016,119.59886423504787
2016-03-31,4137679,2016,139.64788991463536
2016-04-30,4172512,2016,140.82351396604113
2016-05-31,4573996,2016,154.37371769970133
2016-06-30,4922125,2016,166.12317440431573
2016-07-31,5168724,2016,174.4459635827559
2016-08-31,5110638,2016,172.48554390457846
2016-09-30,4543759,2016,153.3532100075027
2016-10-31,4571997,2016,154.30625085852313
2016-11-30,4266481,2016,143.99499550614811
2016-12-31,4343369,2016,146.58998824477197
2017-01-31,3897685,2017,131.54802143953785
2017-02-28,3481405,2017,117.49844833015348
2017-03-31,4335287,2017,146.31721835462582
2017-04-30,4425920,2017,149.37610890815432
2017-05-31,4698067,2017,158.56115064208248
2017-06-30,5134110,2017,173.27773084611653
2017-07-31,5496516,2017,185.50904052296758
2017-08-31,5516837,2017,186.19488028263848
2017-09-30,4736005,2017,159.84156936175154
2017-10-31,4868674,2017,164.31918734687915
2017-11-30,4572702,2017,154.33004481701772
2017-12-31,4660504,2017,157.29338828331484
2018-01-31,4190367,2018,141.42612549642465
2018-02-28,3882181,2018,131.02475685443193
2018-03-31,4674035,2018,157.75006353493174
2018-04-30,4713183,2018,159.0713201124425
2018-05-31,5025595,2018,169.61531750421963
2018-06-30,5427144,2018,183.16771500710277
2018-07-31,5692572,2018,192.12598850397427
2018-08-31,5545859,2018,187.17438136551672
2018-09-30,4649100,2018,156.90849991073046
2018-10-31,4861782,2018,164.08658030865993
2018-11-30,4508606,2018,152.1667858614611
2018-12-31,4576449,2018,154.4565071751441
2019-01-31,4156821,2019,140.29393807563238
2019-02-28,3752763,2019,126.65686108074523
2019-03-31,4599189,2019,155.22398890020276
2019-04-30,4692941,2019,158.3881466261348
2019-05-31,5008001,2019,169.02151480102344
2019-06-30,5466688,2019,184.50233670172537
2019-07-31,5612312,2019,189.41718976812533
2019-08-31,5742437,2019,193.80894700089812
2019-09-30,4471408,2019,150.91134236063743
2019-10-31,4824559,2019,162.83029305044286
2019-11-30,4370463,2019,147.50441875746935
2019-12-31,4720992,2019,159.33487617185244
2020-01-31,4241751,2020,143.16035069257293
2020-02-29,3742224,2020,126.30116671397333
2020-03-31,1885466,2020,63.635035101995086
2020-04-30,138817,2020,4.685114803318464
2020-05-31,286570,2020,9.67182224934246
2020-06-30,555119,2020,18.73543041920905
2020-07-31,765274,2020,25.828223819811218
2020-08-31,852578,2020,28.774759638831338
2020-09-30,905992,2020,30.57749793532566
2020-10-31,1073882,2020,36.243835086604946
2020-11-30,1052317,2020,35.51600995903726
2020-12-31,918723,2020,31.00717295035298
